Polarization of Light 'theta' Data File Tue, Feb 07, 2023 10:30 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.18326	-0.01084
0.18762	-0.00907
0.18762	-0.01149
0.19199	-0.00907
0.19199	-0.01052
0.19635	-0.01149
0.19635	-0.00811
0.19635	-0.00988
0.19635	-0.00988
0.20071	-0.00746
0.20071	-0.01213
0.20071	-0.01020
0.20508	-0.01181
0.20508	-0.01100
0.20944	-0.00956
0.21380	-0.00794
0.21380	-0.00730
0.21380	-0.00698
0.21380	-0.00939
0.21380	-0.00988
0.21817	-0.00939
0.21817	-0.01133
0.22253	-0.00827
0.22253	-0.00939
0.22689	-0.00827
0.22689	-0.01117
0.22689	-0.00811
0.22689	-0.00923
0.22689	-0.01100
0.23126	-0.00698
0.23126	-0.00698
0.23126	-0.01084
0.23126	-0.00859
0.23126	-0.01165
0.23126	-0.00923
0.23126	-0.00891
0.23562	-0.00923
0.23562	-0.00666
0.23562	-0.00730
0.23998	-0.00778
0.24435	-0.00988
0.24435	-0.00875
0.24871	-0.01004
0.25307	-0.00794
0.25307	-0.00972
0.25744	-0.00762
0.25744	-0.00666
0.25744	-0.01133
0.25744	-0.00553
0.26180	-0.00698
0.26616	-0.00649
0.26616	-0.00811
0.27053	-0.00875
0.27489	-0.00746
0.27925	-0.00569
0.27925	-0.00649
0.27925	-0.00617
0.28362	-0.00408
0.28362	-0.01004
0.28798	-0.00488
0.28798	-0.00521
0.29234	-0.00746
0.29671	-0.00569
0.29671	-0.00504
0.29671	-0.00215
0.30107	-0.00521
0.30107	-0.00424
0.30543	-0.00343
0.30543	-0.00456
0.30543	-0.00102
0.30980	-0.00875
0.30980	-0.00392
0.31416	-0.00198
0.31416	-0.00392
0.31852	-0.00263
0.31852	-0.00295
0.31852	-0.00215
0.32289	-0.00037
0.32289	-0.00295
0.32725	-0.00102
0.32725	-0.00166
0.32725	-0.00198
0.33161	0.00059
0.33161	-0.00166
0.33161	-0.00166
0.33161	-0.00086
0.33161	0.00059
0.33598	-0.00198
0.33598	-0.00295
0.34034	0.00172
0.34034	-0.00231
0.34470	-0.00005
0.34470	-0.00037
0.34470	0.00172
0.34470	-0.00392
0.34470	0.00011
0.34470	-0.00021
0.34470	0.00188
0.34470	-0.00198
0.34470	0.00140
0.34470	0.00108
0.34470	-0.00037
0.34470	0.00156
0.34470	0.00059
0.34470	-0.00037
0.34470	0.00220
0.34470	-0.00005
0.34470	0.00108
0.35343	0.00059
0.36216	0.00510
0.36652	0.00381
0.37088	0.00333
0.37525	0.00559
0.38397	0.00881
0.38834	0.00832
0.39270	0.00704
0.39706	0.00832
0.39706	0.00832
0.39706	0.01122
0.39706	0.00994
0.40143	0.01074
0.40579	0.00623
0.41015	0.01332
0.41452	0.01171
0.41452	0.01541
0.41888	0.01074
0.41888	0.01428
0.42324	0.01396
0.42761	0.01284
0.43197	0.01573
0.43633	0.01751
0.44070	0.01461
0.44070	0.01718
0.44506	0.01735
0.44506	0.01767
0.44942	0.01847
0.45379	0.01976
0.45379	0.01863
0.45815	0.02862
0.46251	0.02314
0.46251	0.02105
0.46688	0.02395
0.47124	0.02331
0.47560	0.02298
0.47560	0.02508
0.47997	0.02733
0.47997	0.02331
0.48433	0.02733
0.48869	0.02701
0.48869	0.02701
0.49306	0.02943
0.49742	0.02588
0.50178	0.03233
0.50178	0.02927
0.50615	0.03233
0.51051	0.03394
0.51051	0.03394
0.51487	0.03345
0.51487	0.03297
0.51487	0.03136
0.51487	0.03345
0.51487	0.03281
0.51924	0.03281
0.52360	0.03684
0.52796	0.03216
0.52796	0.03974
0.53233	0.03587
0.53669	0.03845
0.54105	0.03732
0.54542	0.04022
0.54542	0.04119
0.54978	0.04280
0.54978	0.03861
0.55414	0.04360
0.55414	0.04441
0.55414	0.04344
0.55851	0.04682
0.55851	0.04425
0.56287	0.04618
0.56287	0.04457
0.56287	0.04747
0.56287	0.04586
0.56723	0.04441
0.56723	0.04827
0.56723	0.04747
0.56723	0.04586
0.57160	0.04795
0.57160	0.04795
0.57596	0.04940
0.57596	0.04360
0.58032	0.05133
0.58032	0.04908
0.58032	0.04811
0.58469	0.05005
0.58469	0.05005
0.58905	0.05294
0.59341	0.05375
0.59778	0.05520
0.60214	0.05278
0.61087	0.05874
0.61523	0.05778
0.61959	0.05810
0.61959	0.06035
0.61959	0.06052
0.62396	0.06100
0.62396	0.05939
0.62832	0.06132
0.62832	0.05890
0.63705	0.05826
0.64577	0.06503
0.65014	0.06841
0.65014	0.06696
0.65014	0.06438
0.65014	0.06615
0.65014	0.06599
0.65450	0.06728
0.65450	0.06921
0.65886	0.06615
0.66323	0.07082
0.67195	0.07131
0.67632	0.06970
0.68068	0.07324
0.68504	0.07308
0.68941	0.07662
0.69377	0.07743
0.69813	0.07405
0.69813	0.07695
0.69813	0.07533
0.69813	0.07582
0.69813	0.08033
0.69813	0.07550
0.69813	0.07517
0.69813	0.07598
0.69813	0.08661
0.69813	0.07598
0.69813	0.07678
0.69813	0.07775
0.69813	0.07501
0.69813	0.07856
0.69813	0.07582
0.69813	0.07823
0.70686	0.07920
0.71122	0.08210
0.71995	0.08162
0.72431	0.08178
0.72867	0.08194
0.73740	0.08516
0.74176	0.08822
0.75049	0.08903
0.75922	0.08709
0.76358	0.09273
0.76794	0.08999
0.76794	0.09209
0.76794	0.08935
0.77231	0.09370
0.78103	0.09032
0.78540	0.09338
0.78976	0.09402
0.79412	0.09756
0.79849	0.09660
0.79849	0.09917
0.80285	0.09611
0.80721	0.09821
0.81158	0.09901
0.81158	0.09934
0.81594	0.10046
0.82030	0.10095
0.82467	0.09950
0.83339	0.10352
0.83776	0.10336
0.84212	0.10127
0.84648	0.10513
0.85085	0.10481
0.85521	0.10594
0.85521	0.10272
0.85957	0.10771
0.86394	0.10546
0.86830	0.10658
0.87266	0.10562
0.87703	0.10852
0.88139	0.10852
0.88139	0.10513
0.88575	0.11029
0.89012	0.10948
0.89448	0.10771
0.89884	0.10868
0.90321	0.10884
0.90321	0.10900
0.90757	0.10948
0.91193	0.11077
0.91630	0.11077
0.92066	0.10916
0.92502	0.11464
0.93375	0.11319
0.93811	0.11351
0.94248	0.11319
0.94684	0.11222
0.95120	0.11319
0.95120	0.11335
0.95120	0.11496
0.95120	0.11077
0.95557	0.11464
0.95993	0.11383
0.96429	0.11625
0.96866	0.11158
0.97302	0.11561
0.97738	0.11287
0.98175	0.11367
0.98611	0.11432
0.99047	0.11351
0.99484	0.11335
0.99484	0.11480
0.99920	0.11496
1.00793	0.11319
1.01229	0.11577
1.01665	0.11609
1.02102	0.11496
1.02538	0.11126
1.02974	0.11319
1.03411	0.11432
1.04283	0.11399
1.04720	0.11383
1.05156	0.11367
1.05592	0.11319
1.06029	0.11448
1.06901	0.11045
1.07338	0.11448
1.08647	0.11093
1.09083	0.11077
1.09083	0.10965
1.09519	0.11077
1.09956	0.10916
1.09956	0.11077
1.09956	0.10932
1.10392	0.10836
1.10828	0.10868
1.11265	0.10965
1.11265	0.10723
1.11701	0.10900
1.12137	0.10755
1.12137	0.10948
1.12137	0.10884
1.12137	0.10578
1.12137	0.10852
1.12137	0.10836
1.12137	0.10803
1.12137	0.10739
1.12137	0.10852
1.12137	0.10852
1.11701	0.10739
1.11701	0.10771
1.11701	0.10916
1.12137	0.10803
1.12137	0.10594
1.13446	0.10675
1.14319	0.10320
1.15628	0.10288
1.16501	0.10224
1.17810	0.10159
1.18246	0.09628
1.18682	0.10111
1.18682	0.09499
1.19119	0.09885
1.19119	0.09579
1.19119	0.09515
1.19555	0.09531
1.19991	0.09708
1.19991	0.09483
1.20428	0.09321
1.20428	0.09418
1.20428	0.09724
1.20428	0.09370
1.20428	0.09901
1.20428	0.09241
1.21300	0.09628
1.21737	0.09241
1.21737	0.09338
1.21737	0.09354
1.22173	0.09386
1.22173	0.09064
1.22173	0.09321
1.22609	0.09209
1.22609	0.09257
1.23046	0.08967
1.23046	0.09257
1.23482	0.08725
1.23918	0.08725
1.23918	0.09032
1.24355	0.08854
1.24355	0.08436
1.24355	0.08709
1.24791	0.08677
1.24791	0.08870
1.25227	0.08693
1.25227	0.08307
1.25664	0.08403
1.26100	0.08532
1.26100	0.08597
1.26536	0.08178
1.26973	0.08307
1.27409	0.08403
1.27409	0.07888
1.27845	0.08113
1.27845	0.07952
1.28282	0.07856
1.28718	0.08001
1.29154	0.07566
1.29591	0.07566
1.30027	0.07179
1.30463	0.07517
1.30900	0.07437
1.31336	0.07082
1.31772	0.07147
1.32209	0.07131
1.32645	0.06760
1.33081	0.06793
1.33081	0.06793
1.33518	0.06776
1.33954	0.06470
1.34390	0.06470
1.34827	0.06197
1.35263	0.06116
1.35699	0.06148
1.36136	0.05858
1.36572	0.06100
1.37445	0.05552
1.37881	0.05713
1.38317	0.05391
1.38754	0.05311
1.39626	0.05085
1.40499	0.04908
1.41372	0.04489
1.41808	0.04473
1.42244	0.04634
1.42244	0.04537
1.42681	0.04489
1.42681	0.04344
1.42681	0.04183
1.42681	0.04408
1.42681	0.04167
1.42681	0.04537
1.42244	0.04312
1.42244	0.04650
1.42244	0.04344
1.42244	0.04247
1.42244	0.04698
1.42244	0.04392
1.42681	0.04441
1.43990	0.04231
1.44862	0.03651
1.46171	0.03539
1.46608	0.03313
1.47044	0.03168
1.47480	0.03152
1.47917	0.03088
1.48353	0.02717
1.48789	0.03136
1.48789	0.02540
1.49662	0.02894
1.50098	0.02556
1.50535	0.02331
1.50535	0.02186
1.50971	0.02427
1.50971	0.02298
1.50971	0.02476
1.50971	0.02379
1.50971	0.02202
1.51407	0.02234
1.51844	0.02266
1.52280	0.01896
1.52716	0.01799
1.53153	0.01896
1.53589	0.01896
1.54025	0.01525
1.54025	0.01686
1.54462	0.01573
1.54898	0.01364
1.55334	0.01638
1.55771	0.01316
1.55771	0.01493
1.55771	0.01219
1.56207	0.01445
1.56207	0.01300
1.56207	0.01155
1.56643	0.01235
1.57516	0.01364
1.57516	0.00865
1.57952	0.00784
1.57952	0.01235
1.58389	0.00784
1.58825	0.01058
1.59261	0.00816
1.59698	0.00575
1.60570	0.00607
1.61007	0.00752
1.61443	0.00108
1.61879	0.00446
1.62316	0.00188
1.62752	-0.00150
1.62752	0.00188
1.63188	0.00092
1.63625	0.00236
1.63625	-0.00118
1.64061	-0.00005
1.64497	-0.00102
1.64934	-0.00182
1.65370	-0.00134
1.65806	-0.00102
1.65806	-0.00295
1.66243	-0.00279
1.66679	-0.00424
1.67115	-0.00279
1.67552	-0.00263
1.67988	-0.00537
1.68424	-0.00569
1.68861	-0.00521
1.69297	-0.00472
1.70170	-0.00923
1.70606	-0.00553
1.71042	-0.00988
1.71479	-0.00682
1.71915	-0.01020
1.72351	-0.00698
1.72788	-0.00939
1.73224	-0.00714
1.73660	-0.00633
1.74097	-0.00972
1.74533	-0.00827
1.74533	-0.00746
1.74969	-0.00891
1.75842	-0.00666
1.76278	-0.00956
1.76278	-0.00956
1.77151	-0.00875
1.77587	-0.01020
1.78024	-0.01036
1.78024	-0.00827
1.78896	-0.00827
1.79333	-0.00746
1.79769	-0.00923
1.80205	-0.00778
1.80642	-0.00649
1.81078	-0.01004
1.81078	-0.00956
1.81514	-0.00859
1.81951	-0.00859
1.82387	-0.00617
1.82823	-0.00972
1.83260	-0.00666
1.83696	-0.00601
1.84132	-0.00569
1.84569	-0.00746
1.85441	-0.00875
1.85878	-0.00569
1.86314	-0.00585
1.87187	-0.00456
1.88496	-0.00537
1.89805	-0.00005
1.91114	-0.00327
1.92423	0.00075
1.92859	0.00156
1.93295	0.00414
1.93732	0.00269
1.93732	0.00059
1.94168	0.00317
1.94604	0.00253
1.95041	0.00623
1.95477	0.00704
1.95913	0.00704
1.96350	0.00559
1.96350	0.00559
1.96786	0.00768
1.97222	0.00671
1.98095	0.01010
1.98531	0.00849
1.98968	0.01235
1.99840	0.01187
2.00277	0.01606
2.01586	0.01622
2.02895	0.01815
2.03767	0.01960
2.04640	0.02282
2.05076	0.02105
2.05949	0.02524
2.06822	0.02556
2.08131	0.03249
2.09003	0.03216
2.10312	0.03523
2.11621	0.03877
2.12494	0.04296
2.13803	0.03941
2.14675	0.04618
2.15984	0.04860
2.16421	0.05053
2.17293	0.05343
2.18166	0.05407
2.18602	0.05778
2.19039	0.05504
2.19911	0.05923
2.21657	0.06277
2.22966	0.06793
2.23838	0.06390
2.23838	0.06937
2.23838	0.07163
2.23838	0.06873
2.23838	0.07147
2.23838	0.06680
2.23838	0.06970
2.24275	0.07066
2.24711	0.07050
2.25147	0.07066
2.25584	0.07372
2.26020	0.07389
2.26456	0.07646
2.26893	0.07711
2.27329	0.07985
2.28202	0.07630
2.29074	0.07952
2.29947	0.08178
2.30820	0.07856
2.31256	0.08581
2.32129	0.09080
2.32565	0.08951
2.33438	0.09080
2.34310	0.09273
2.35183	0.09354
2.35619	0.09499
2.35619	0.09305
2.36056	0.09611
2.36928	0.09676
2.36928	0.09660
2.37365	0.10079
2.37365	0.09676
2.37365	0.09998
2.37365	0.09853
2.37365	0.09853
2.37365	0.09354
2.37365	0.09934
2.37365	0.09595
2.37365	0.09950
2.37365	0.09950
2.37365	0.09676
2.37365	0.09966
2.37365	0.09644
2.37365	0.09756
2.37365	0.09885
2.37801	0.09628
2.38237	0.09901
2.39546	0.10207
2.40419	0.10304
2.40855	0.10207
2.41292	0.10352
2.41728	0.10610
2.42601	0.10417
2.42601	0.10642
2.43037	0.10433
2.43473	0.10513
2.43910	0.10948
2.44346	0.10691
2.44782	0.10932
2.45655	0.10836
2.46091	0.10932
2.46528	0.10997
2.46964	0.10723
2.47400	0.11158
2.47837	0.10948
2.48273	0.11109
2.48709	0.11271
2.49582	0.11416
2.49582	0.11222
2.49582	0.11319
2.50018	0.10997
2.50018	0.10981
2.50455	0.11271
2.50455	0.11190
2.50891	0.11448
2.51327	0.11448
2.51764	0.11271
2.52200	0.11480
2.52200	0.11222
2.53073	0.11528
2.53073	0.11109
2.53509	0.11287
2.53945	0.11287
2.54382	0.11351
2.54818	0.11287
2.55254	0.10997
2.55691	0.11416
2.56563	0.11496
2.57436	0.11077
2.57872	0.11432
2.57872	0.11416
2.58309	0.11399
2.59181	0.11190
2.59618	0.11174
2.60054	0.11093
2.60490	0.11206
2.60927	0.10852
2.61363	0.11383
2.61799	0.10948
2.62236	0.11367
2.62672	0.11061
2.63108	0.11158
2.63981	0.11013
2.64417	0.10691
2.64854	0.10948
2.65290	0.10997
2.65726	0.10642
2.66163	0.10707
2.67035	0.10658
2.67472	0.10900
2.67908	0.10481
2.68781	0.10739
2.69217	0.10207
2.69653	0.10642
2.70526	0.10513
2.70962	0.10127
2.71835	0.10111
2.72708	0.10014
2.73144	0.10095
2.73580	0.09885
2.74017	0.09934
2.74453	0.09660
2.75326	0.09579
2.75762	0.09048
2.76635	0.09579
2.77507	0.08999
2.77944	0.08967
2.78816	0.08790
2.79689	0.08903
2.80125	0.08484
2.80998	0.08532
2.81871	0.08258
2.83616	0.08033
2.84489	0.07598
2.85361	0.07614
2.85798	0.07533
2.86670	0.06905
2.87543	0.07131
2.88416	0.06648
2.89288	0.06583
2.89725	0.06180
2.90161	0.06567
2.90161	0.06519
2.90161	0.06358
2.90161	0.06680
2.90161	0.06374
2.90161	0.06358
2.90161	0.06164
2.90161	0.06519
2.90161	0.06261
2.90161	0.06406
2.90161	0.06309
2.90597	0.06422
2.92343	0.05923
2.93652	0.05697
2.94961	0.05117
2.95833	0.05182
2.96706	0.04553
2.97579	0.04312
2.98451	0.04618
2.98888	0.04199
2.99324	0.03893
2.99760	0.04264
3.00197	0.03555
3.01069	0.03700
3.01942	0.03651
3.02378	0.03088
3.02378	0.03442
3.02815	0.03410
3.02815	0.03490
3.02815	0.03023
3.02815	0.03200
3.03251	0.03281
3.03687	0.02894
3.04124	0.02927
3.04560	0.02814
3.04996	0.02685
3.05433	0.02637
3.05869	0.02476
3.06305	0.02443
3.06742	0.02363
3.07178	0.01976
3.07614	0.02137
3.08051	0.02121
3.08487	0.01960
3.08923	0.01767
3.09360	0.02121
3.09360	0.02008
3.09796	0.01638
3.10669	0.01573
3.11105	0.01638
3.11105	0.01235
3.11541	0.01461
3.11978	0.01155
3.12414	0.00945
3.12850	0.01203
3.13287	0.01074
3.13723	0.00897
3.13723	0.00897
3.14159	0.00849
3.14596	0.00688
